prefix,id,category,en_name,th_name,cn_name,price,desc_en,desc_th,desc_cn,image_url,badges,options
1-1,1,Soups,Pumpkin Soup,ซุปฝักทอง,南瓜汤,90,"Creamy roasted pumpkin soup with a hint of spice, finished with a swirl of fresh cream and served with toast + butter.",,奶油烤南瓜汤带有淡淡的香料味，最后淋上新鲜奶油，配上烤面包和黄油。,.\img\dishes\01-01.png,,
1-2,2,Soups,Carrot Soup,ซุปแครอท,胡萝卜汤,90,"Smooth carrot soup with natural sweetness. Creamy, warm, and full of comfort.",,顺滑的胡萝卜汤，带着天然的甜味。奶油般柔滑，温暖舒适，令人倍感舒适。,.\img\dishes\01-02.png,,
1-3,3,Soups,Tom Yum River Prawn,ต้มยำกุ้งแม่น้ำ,泰式酸辣虾汤,250,"A classic Thai soup loaded with 120g of shrimp — choose between a bright, clear broth or creamy milk and coconut base.",,经典泰式汤，内含 120 克虾，可选择清澈明亮的汤底或奶油牛奶和椰子汤底。,.\img\dishes\01-03.png,seafood,
1-4,4,Soups,Tom Yum Seafood,ต้มยำซีฟู้ด,泰式酸辣海鲜汤,290,"A classic Thai soup loaded with 120g of river prawn and 100g of squid — choose between a bright, clear broth or creamy milk and coconut base.",,经典泰式汤，含有 120 克河虾和 100 克鱿鱼——可选择清澈明亮的汤汁或奶油牛奶和椰子汤底。,.\img\dishes\01-04.png,seafood,
1-5,5,Soups,Spicy Chicken Soup (Tom Yum Gai),ต้มยำไก่ ฮาลาล,清真辣鸡汤,120,Clear Tom Yum with Chicken in Thai herbs & lime.,,清澈的冬阴功鸡肉配泰国香草和酸橙。,.\img\dishes\01-05.png,halal,
1-6,6,Soups,Chicken Galangal Coconut Soup (Tom Kha Gai),ต้มข่าไก่ ฮาลาล,清真鸡肉高良姜椰子汤,120,"A comforting blend of coconut milk, galangal, lemongrass, and tender chicken.",,椰奶、高良姜、柠檬草和嫩鸡肉的舒适混合物。,.\img\dishes\01-06.png,halal,
1-7,7,Soups,Spicy Beef Soup (Tom Sap Neua),ต้มแซ่บเนื้อ ฮาลาล,清真辣牛肉汤,150,Fiery hot and sour broth with fresh lime and stewed beef.,,酸辣汤，配以新鲜的酸橙和炖牛肉。,.\img\dishes\01-07.png,halal,
2-1,8,Salads,Egyptian-style Salad,สลัดอียิปต์,埃及风味沙拉,80,"Zesty cucumber, tomato, and onion tossed in bright lemon dressing.",,香辣黄瓜、西红柿和洋葱拌入鲜亮的柠檬酱中。,.\img\dishes\02-01.png,vegetarian,
2-2,9,Salads,Garden Salad,สลัดผักรวม,田园沙拉,90,"Refreshing mix of cucumbers, tomatoes, carrots, and leafy greens.",,黄瓜、西红柿、胡萝卜和绿叶蔬菜的清爽混合。,.\img\dishes\02-02.png,vegetarian,
2-3,10,Salads,Grilled Chicken Salad,สลัดไก่ย่าง ฮาลาล,清真烤鸡沙拉,120,Smoky grilled chicken over crisp vegetables with house dressing.,,烟熏烤鸡配脆蔬菜和自制调料。,.\img\dishes\02-03.png,halal,
2-4,11,Salads,Minced Chicken Salad (Larb Gai),ลาบไก่ ฮาลาล,鸡肉沙拉,100,"100g ground minced chicken dressed with Thai herbs, onion, and lime.",,100 克鸡肉碎，配以泰国香草、洋葱和酸橙。,.\img\dishes\02-04.png,halal,
2-5,12,Salads,Grilled Australian Beef Salad (Nam Tok Neua Yang),น้ำตกเนื้อย่าง (เนื้อออสเตรเลีย ฮาลาล),烤澳洲牛肉沙拉,190,"120g of juicy grilled Australian beef tossed in Thai herbs, onion, and lime.",,120 克多汁的烤澳大利亚牛肉，加入泰国香草、洋葱和酸橙。,.\img\dishes\02-05.png,halal,
2-6,13,Salads,Minced Duck Salad (Larb Ped),ลาบเป็ด ฮาลาล,碎鸭肉沙拉,110,"100g of minced duck meat dressed with Thai herbs, onion, and lime.",,100 克碎鸭肉，配以泰国香草、洋葱和酸橙。,.\img\dishes\02-06.png,halal,
2-7,14,Salads,Minced Beef Salad (Larb Neua),ลาบเนื้อ ฮาลาล,碎牛肉沙拉,100,"100g of minced beef dressed with Thai herbs, onion, and lime.",,100 克碎牛肉，配以泰国香草、洋葱和酸橙。,.\img\dishes\02-07.png,halal,
2-8,15,Salads,Glass Noodle Salad (Yum Wun Sen),ยำวุ้นเส้นกุ้ง/ปลาหมึก,虾/鱿鱼粉丝沙拉,130,Silky glass noodles in spicy Thai dressing and cooked with your choice of Shrimp or Squid.,,丝滑的粉丝搭配辛辣的泰式调料，并可与您选择的虾或鱿鱼一起烹制。,.\img\dishes\02-08.png,seafood,
2-9,16,Salads,Seafood Glass Noodle Salad (Yum Wun Sen Talay),ยำวุ้นเส้นรวมทะเล,海鲜粉丝沙拉,150,A medley of shrimp and squid with noodles in vibrant Thai salad.,,鲜美的泰式沙拉中混合了虾和鱿鱼以及面条。,.\img\dishes\02-09.png,seafood,
2-10,17,Salads,Mixed Seafood Salad (Yum Lowam Mit Talay),ยำรวมมิตรทะเล,什锦海鲜沙拉,180,"Bold Thai-style seafood salad—shrimp, squid, crab sticks, and heat.",,浓郁的泰式海鲜沙拉——虾、鱿鱼、蟹棒和辣味。,.\img\dishes\02-10.png,seafood,
2-11,18,Salads,Australian Beef Salad (Yum Neua),ยำเนื้อออสเตรเลีย ฮาลาล,烤澳洲牛肉沙拉,190,Sliced grilled beef in spicy lime dressing with herbs.,,将切片烤牛肉与香草和辣味酸橙汁一起调味。,.\img\dishes\02-11.png,halal,
2-12,19,Salads,Herbal Shrimp Salad (Pla Kung),พล่ากุ้ง,香草虾沙拉,180,"Lightly poached of shrimp with lemongrass, lime, and fresh Thai herbs.",,将虾与柠檬草、酸橙和新鲜的泰国香草一起轻轻煮熟。,.\img\dishes\02-12.png,seafood,
2-13,20,Salads,Chicken Sausage Salad (Yum Gaiyo),ยำไก่ยอ ฮาลาล,鸡肉香肠沙拉,100,Spicy chicken sausage mixed with Thai herbs and lemon.,,辣味鸡肉香肠与泰国香草和柠檬混合。,.\img\dishes\02-13.png,halal,
3-1,21,Appetizers,Fried Cashew Nuts,ยำเม็ดมะม่วงหิมมะพานต์,油炸腰果配柠檬片,120,Crispy golden cashews fried to perfection and tossed with a zesty Thai-style seasoning.,,酥脆金黄的腰果炸至完美，并加入浓郁的泰式调味料。,.\img\dishes\03-01.png,spicy,
3-2,22,Appetizers,Fried Peanuts,ยำถั่วลิสงทอด,油炸花生配柠檬片,100,"Crunchy peanuts with a savory touch, perfectly fried for a bold Thai snack.",,香脆的花生，带有咸味，经过完美油炸，是一道浓郁的泰国小吃。,.\img\dishes\03-02.png,spicy,
3-3,23,Appetizers,French Fries,เฟรนช์ฟรายส์,炸薯条,,"Golden fries, crispy outside and soft inside. Perfect with any main dish or on their own.",,金黄酥脆的薯条，外脆内软。搭配任何主菜或单独享用都完美。,.\img\dishes\03-03.png,vegetarian,Plain: 60 | Paprika: 70
3-4,24,Appetizers,Onion Rings,ออเนียนริงส์,洋葱圈,60,"Crispy onion rings, golden and crunchy. A timeless favorite snack to share or enjoy solo.",,香脆的洋葱圈，金黄酥脆，无论分享还是独自享用，都是永恒的美味。,.\img\dishes\03-04.png,,
3-5,25,Appetizers,Vegetable Spring Rolls,ปอเปี๊ยทอด,蔬菜春卷,120,"Glass noodles, carrot, cabbage",,粉丝、胡萝卜、卷心菜,.\img\dishes\03-05.png,vegetarian,
3-6,26,Appetizers,Fish Cakes (Toad Mun Pla),มันปลาทอด,鱼饼,120,Thai-style fish cakes full of herbs and spice. Served with a tangy dipping sauce.,,泰式鱼饼，香草和香料味十足，佐以浓郁的蘸酱。,.\img\dishes\03-06.png,seafood,
3-7,27,Appetizers,Tamarind Glazed Chicken Wings,ปีกไก่ทอดซอสมะขาม ฮาลาล,罗望子酱炒鸡翅,130,"Tangy, sweet and savory wings with signature tamarind sauce.",,酸甜可口的鸡翅，配以特色罗望子酱。,.\img\dishes\03-07.png,"halal, new",
3-8,28,Appetizers,Tamarind Glazed River Shrimp,กุ้งแม่น้ำทอดซอสมะขาม,罗望子酱炒虾,200,"Juicy shrimp glazed in tangy tamarind sauce - sweet, sour, and unforgettable.",,多汁的虾淋上浓郁的罗望子酱——酸甜可口，令人难忘。,.\img\dishes\03-08.png,"halal, new",
3-9,29,Appetizers,Fried Chicken Wings with Thai Herb,ปีกไก่ทอดสมุนไพร ฮาลาล,泰式香草炸鸡翅,130,"Fried chicken wings with Thai herbal aroma - crispy, juicy, and halal-friendly delight.",,带有泰国草药香气的炸鸡翅 - 香脆、多汁且清真美味。,.\img\dishes\03-09.png,halal,
3-10,30,Appetizers,Fried Chicken Wings,ปีกไก่ทอด ฮาลาล,炸鸡翅,,"Golden fried chicken wings, crispy outside and 
juicy on the inside for the perfect bite.",,炸至金黄的鸡翅，外皮酥脆，内里鲜嫩多汁，一口咬下去，美味无比。,.\img\dishes\03-10.png,halal,Plain: 110 | Paprika: 120
3-11,31,Appetizers,Fish Sauce Fried Chicken Wings,ปีกไก่ทอดน้ำปลา ฮาลาล,鱼露炸鸡翅,110,Crispy fried chicken wings marinated in savory Thai fish sauce.,,酥脆的炸鸡翅，用美味的泰式鱼露腌制。,.\img\dishes\03-11.png,"halal, spicy",
3-12,32,Appetizers,Chicken Nuggets,นักเก็ตส์ไก่,鸡块,100,"Bite-sized golden crunch with juicy chicken inside, perfect for dipping and sharing!",,一口大小的金黄酥脆，里面是多汁的鸡肉，非常适合蘸着吃和分享！,.\img\dishes\03-12.png,halal,
4-1,33,Burgers,Classic Beef Burger,เบอร์เกอร์เนื้อออสเตรเลีย ฮาลาล,经典牛肉汉堡,190,120g of juicy grilled beef patty with fresh veggies and our signature sauce.,,120 克多汁的烤牛肉饼，配以新鲜蔬菜和我们的招牌酱汁 - 配炸薯条。,.\img\dishes\04-01.png,halal,
4-2,34,Burgers,Cheeseburger,ชีสเบอร์เกอร์เนื้อออสเตรเลีย ฮาลาล,芝士汉堡,220,120g of savory beef topped with melted cheese —comfort in every bite.,,120 克美味的牛肉配上融化的奶酪，配上炸薯条——每一口都令人感到舒适。,.\img\dishes\04-02.png,halal,
4-3,35,Burgers,Double Beef Burger,ดับเบิ้ลเบอร์เกอร์เนื้อออสเตรเลีย ฮาลาล,双层牛肉汉堡,270,Two layers of flavorful beef (240g) for maximum satisfaction.,,两层美味牛肉（240 克）可带来最大满足感 - 搭配炸薯条。,.\img\dishes\04-03.png,halal,
4-4,36,Burgers,Fried Chicken Burger,เบอร์เกอร์ไก่ทอด ฮาลาล,炸鸡汉堡,180,Crispy fried chicken with lettuce and creamy mayo —crunchy and crave-worthy.,,香脆炸鸡配生菜和奶油蛋黄酱，配上炸薯条——香脆可口，令人垂涎欲滴。,.\img\dishes\04-04.png,halal,
4-5,37,Burgers,Japanese Style Hamburg,เบอร์เกอร์สไตล์ญี่ปุน+ข้าว ฮาลาล,日式汉堡+米饭，清真,270,"Two tender beef patties served with Japanese Sauce, steamed vegetables and steamed rice.",,两块嫩牛肉饼配日式酱汁、蒸蔬菜和蒸米饭。,.\img\dishes\04-05.png,halal,
5-1,38,Spaghetti,Spaghetti Carbonara,สปาเกตตีคาโบนารา,卡邦尼意大利面,150,"Creamy carbonara sauce with ham and sausage—rich, comforting, and satisfying.",,奶油培根蛋面酱搭配火腿和香肠——浓郁、舒适、令人满意。,.\img\dishes\05-01.png,halal,
5-2,39,Spaghetti,Spaghetti Bolognese,สปาเกตตีโบโลเนสซอสเนื้อ ฮาลาล,肉酱意大利面,150,Hearty Italian-style beef ragù simmered in tomato and herbs.,,丰盛的意大利风味牛肉酱，用番茄和香草慢炖而成。,.\img\dishes\05-02.png,halal,
5-3,40,Spaghetti,Spaghetti with Tomato Sauce,สปาเกตตีซอสมะเขือเทศ,番茄酱意大利面,120,"Classic sweet-and-tangy tomato sauce, slow-cooked to perfection.",,经典的酸甜番茄酱，慢火烹制，味道完美。,.\img\dishes\05-03.png,vegetarian,
5-4,41,Spaghetti,Chicken Spaghetti with Thai Herbs (Pad Ka Praw Gai),สปาเกตตีผัดกะเพราไก่ ฮาลาล,泰式香草鸡肉意大利面,120,A Thai twist—spaghetti tossed with spicy basil chicken.,,泰式风味——意大利面配辣罗勒鸡肉。,.\img\dishes\05-04.png,"halal, spicy",
5-5,42,Spaghetti,Spaghetti with Thai Basil (Pad Ka Praw),สปาเกตตีผัดกะเพรา,泰式罗勒虾/鱿鱼意大利面,,Stir-fried spaghetti loaded with shrimp or squid and bold basil flavor.,,炒意大利面，加入虾或鱿鱼，并加入浓郁的罗勒味。,.\img\dishes\05-05.png,seafood,Shrimp: 140 | Squid: 140 | Seafood: 160
5-6,43,Spaghetti,Beef Spaghetti in Red Curry (Pad Ped Neua),สปาเกตตีผัดเผ็ดเนื้อ ฮาลาล,清真辣牛肉意大利面,160,Plump beef stir-fried Thai-style with hot chilies and red curry.,,肥美的牛肉以泰式方式与辣椒和红咖喱一起翻炒。,.\img\dishes\05-06.png,halal,
6-1,44,Som Tum,Papaya Salad (Som Tum Prara),ส้มตำปลาร้า,木瓜沙拉配发酵鱼,70,"Crisp green papaya tossed with rich, authentic Isan-style fish sauce, Thai anchovy, garlic, chili and lime —fiery and flavorful!",,酥脆的青木瓜与浓郁、正宗的伊桑风味鱼露、泰国凤尾鱼、大蒜、辣椒和酸橙混合——辛辣而美味！,.\img\dishes\06-01.png,spicy,
6-2,45,Som Tum,Papaya Salad with Pickled Crab (Som Tum Pu Prara),ส้มตำปูปลาร้า,木瓜沙拉配发酵鱼和蟹,75,"Traditional papaya salad with pickled crab and fish sauce, Thai anchovy, garlic, chili and lime —bold and zesty!",,传统木瓜沙拉，配以腌蟹和鱼露、泰式凤尾鱼、大蒜、辣椒和酸橙——浓郁而美味！,.\img\dishes\06-02.png,spicy,
6-3,46,Som Tum,Classic Thai Papaya Salad (Som Tum Thai),ส้มตำไทย,经典泰式木瓜沙拉,70,"Sweet, sour, and spicy papaya salad with peanuts and dried shrimp.",,酸甜辣味木瓜沙拉，配花生和虾米。,.\img\dishes\06-03.png,spicy,
6-4,47,Som Tum,Salted Egg Som Tum (Khai Kem),ส้มตำไข่เค็ม,咸蛋木瓜沙拉,80,"Sweet-spicy papaya salad with rich, creamy salted egg.",,甜辣木瓜沙拉，配以浓郁的奶油咸蛋。,.\img\dishes\06-04.png,spicy,
6-5,48,Som Tum,Cucumber Salad (Tum Tang),ตำแตง,黄瓜沙拉,70,"Refreshing cucumbers mixed with savory Isan-style fish sauce, Thai anchovy, garlic, chili and lime.",,清爽的黄瓜与美味的伊桑风味鱼露、泰式凤尾鱼、大蒜、辣椒和酸橙混合。,.\img\dishes\06-05.png,spicy,
6-6,49,Som Tum,Papaya Salad Tum Pa (Tum Pa),ตำป่า,木瓜沙拉Tum Pa,100,"Fresh papaya salad Tum Pa style - spicy, tangy, and bursting with bold flavors.",,新鲜木瓜沙拉，Tum Pa 风格——辛辣、浓郁、口感丰富。,.\img\dishes\06-06.png,spicy,
6-7,50,Som Tum,Peanut Spicy Salad (Tum Touwa),ตำถั่ว,青豆沙拉,70,"Fresh peanuts with authentic Isan-style fish sauce, Thai anchovy, garlic, chili and lime.",,新鲜花生搭配正宗伊桑风味鱼露、泰式凤尾鱼、大蒜、辣椒和酸橙。,.\img\dishes\06-07.png,spicy,
6-8,51,Som Tum,Papaya salad with Chicken Sausage (Som Tum Gaiyo),ส้มตำไก่ยอ ฮาลาล,木瓜鸡肉香肠沙拉,80,Classic papaya salad with chicken sausage.,,经典木瓜沙拉配鸡肉香肠。,.\img\dishes\06-08.png,spicy,
7-1,52,Curries,Green Curry (Gang Kew Wan),แกงเขียวหวาน ไก่/เนื้อออสเตรเลีย ฮาลาล,绿咖喱、鸡肉/澳洲牛肉,,Silky green curry infused with Thai basil and tender meat of your choice.,,丝滑的绿咖喱与泰国罗勒和您选择的嫩肉融合。,.\img\dishes\07-01.png,halal,Chicken: 120 | AUS Beef: 170
7-2,53,Curries,Panang Curry,แกงแพนง ไก่/เนื้อออสเตรเลีย ฮาลาล,Panang 咖喱、鸡肉/澳大利牛肉,,Rich and creamy curry with bold spices and aromatic coconut.,,浓郁的奶油咖喱，带有浓郁的香料和芳香的椰子味。,.\img\dishes\07-02.png,halal,Chicken: 120 | AUS Beef: 170
7-3,54,Curries,Red Curry (Gang Dang),แกงแดง ไก่/เนื้อออสเตรเลีย ฮาลาล,红咖喱、鸡肉/澳洲牛肉,,"Classic Thai red curry—vibrant, spicy, and coconut-rich.",,经典泰式红咖喱——鲜亮、辛辣、椰子味浓郁。,.\img\dishes\07-03.png,halal,Chicken: 120 | AUS Beef: 170
7-4,55,Curries,Thai Chili Stir-Fry (Sho Chi),ฉู่ฉี่,泰式辣椒炒海鲜,,"Thai red curry with coconut milk with your choice of shrimp, squid or both.",,泰式红咖喱配椰奶，可选择虾、鱿鱼或两者。,.\img\dishes\07-04.png,seafood,Shrimp: 150 | Squid: 150 | Seafood: 180
7-5,56,Curries,Spicy Herb Beef Curry (Gang Om Neua),แกงอ่อมเนื้อ ฮาลาล,香草辣味牛肉咖喱,120,Authentic rustic curry packed with Isan herbs and tender beef.,,正宗的乡村咖喱，富含伊森香草和嫩牛肉。,.\img\dishes\07-05.png,halal,
8-1,57,One Dish,Fried Rice (Kaw Pad),ข้าวผัด,炒饭,,"Classic fried rice cooked with Thai herbals, egg and seafood.",,经典炒饭，以泰国草药、鸡蛋和海鲜烹制而成。,.\img\dishes\08-01.png,seafood,Shrimp: 100 | Squid: 100 | Seafood: 120
8-2,58,One Dish,Fried Rice with Chicken (Kaw Pad Gai),ข้าวผัดไก่ ฮาลาล,鸡肉炒饭,100,"Classic fried rice cooked with Thai herbals, egg and chicken.",,用泰国草药、鸡蛋和鸡肉烹制的经典炒饭。,.\img\dishes\08-02.png,halal,
8-3,59,One Dish,Fried Rice with Beef (Kaw Pad Neua),ข้าวผัดเนื้อออสเตรเลีย ฮาลาล,牛肉炒饭,180,"Classic fried rice cooked with Thai herbals, egg and beef.",,经典炒饭，以泰国草药、鸡蛋和牛肉烹制而成。,.\img\dishes\08-03.png,halal,
8-4,60,One Dish,Basil Stir-Fried Rice (Kaw Pad Gra Praw),ผัดกระเพราราดข้าว ฮาลาล,罗勒炒饭,,Thai basil fried rice loaded with your choice of protein.,,泰式罗勒炒饭，富含您选择的蛋白质。,.\img\dishes\08-04.png,halal,Chicken: 100 | Beef: 120 | Shrimp: 120 | Squid: 120 | Seafood: 130
8-5,61,One Dish,Thai Herbal Stir-Fried Rice (Pad Cha),ผัดฉ่าราดข้าว ฮาลาล,泰式香草炒饭,,"Stir fried rice cooked with Thai herbs, Galangal, green unripe peppercorns (Prik Thai).",,Prik Thai）烹制的炒饭。,.\img\dishes\08-05.png,halal,Chicken: 100 | Beef: 120 | Seafood: 130
8-6,62,One Dish,Fried Rice with Grilled  Beef,ข้าวผัดเนื้อออสเตรเลียย่างดองซีอิ้ว,烤牛肉炒饭配酸蛋,220,Fried garlic rice and savory Australian beef strips served with clear flavory soup,,炒蒜香米饭和美味的澳大利亚牛肉条，配上清澈美味的汤,.\img\dishes\08-06.png,halal,
8-7,63,One Dish,Fried Rice With Grilled Chicken in Teriyaki Sauce,ข้าวหน้าไก่เทริยากิ ย่าง ฮาลาล,炒饭，照烧酱烤鸡,150,"Fried garlic rice and tender grilled chicken glazed with a rich, served with clear flavory soup",,炒蒜香米饭和嫩烤鸡，淋上浓郁的酱汁，配上清澈美味的汤,.\img\dishes\08-07.png,halal,
8-8,64,One Dish,Pad Thai Shrimp,ผัดไทยกุ้ง,泰式虾炒河粉,120,"Classic Thai noodles stir-fried with juicy shrimp, egg, and peanuts in a sweet-tangy sauce.",,经典泰式面条与多汁的虾、鸡蛋和花生一起在酸甜的酱汁中翻炒。,.\img\dishes\08-08.png,seafood,
8-9,65,One Dish,Thai Omelet with Minced Shrimp (Kai Jeow Kung Sup),ไข่เจียวกุ้งสับ,泰式虾仁煎蛋卷,70,Two eggs omelet with chopped shrimp—rich and savory.,,两个鸡蛋煎蛋卷配虾仁——浓郁可口。,.\img\dishes\08-09.png,seafood,
8-10,66,One Dish,Thai Omelet (Kai Jeow),ไข่เจียว,泰式煎蛋卷,40,Puffy and golden Thai-style omelet.,,蓬松金黄的泰式煎蛋卷。,.\img\dishes\08-10.png,,
8-11,67,One Dish,Fried Egg (Kai Daw),ไข่ดาว,煎蛋,20,Sunny-side up perfection.,,单面煎蛋。,.\img\dishes\08-11.png,,
8-12,68,One Dish,Steamed Rice (Kaw Soway),ข้าวสวย,米饭,20,Fluffy steamed jasmine rice.,,蓬松的蒸茉莉香米。,.\img\dishes\08-12.png,,
9-1,69,Fried Grills,Garlic-Fried (Toad Gra Tiyum),ทอดกระเทียม ฮาลาล,蒜香炸鸡/牛肉,,Crispy and golden garlic fried with your choice of protein.,,将酥脆金黄的大蒜与您选择的蛋白质一起煎炸。,.\img\dishes\09-01.png,halal,Chicken: 120 | Beef: 150
9-2,70,Fried Grills,Garlic-Fried River Shrimp (Toad Gra Tiyum),กุ้งแม่น้ำทอดซอสมะขาม,蒜蓉炒河虾,200,Garlic-Fried River Shrimp made with authentic Thai flavors. A delightful choice to enjoy anytime.,,蒜蓉炒河虾，正宗泰式风味，随时随地，美味之选。,.\img\dishes\09-02.png,seafood,
9-3,71,Fried Grills,Fried Tilapia with Garlic (Toad Gra Tiyum Pra),ปลาทับทิมทอดกระเทียม,蒜蓉炒罗非鱼,250,Seabass fish fried to perfection with crispy fried garlic and Thai sauce.,,鲈鱼炸至完美，配以香脆的炸蒜和泰式酱汁。,.\img\dishes\09-03.png,seafood,
9-4,72,Fried Grills,Sun-Dried Beef (Neua Daad Diew),เนื้อแดดเดียว ฮาลาล,干牛肉,170,"Crispy sun-dried Thai sauce marinated beef—salty, smoky and addictive.",,酥脆的泰式酱汁腌牛肉——咸香、烟熏，令人上瘾。,.\img\dishes\09-04.png,halal,
9-5,73,Fried Grills,Grilled Australian Beef with Jaew Sauce,เนื้อย่างจิ้มแจ่ว (เนื้อออสเตรเลีย ฮาลาล),烤牛肉配jaew酱（澳大利亚牛肉，清真）,260,"180g of tender grilled Australian beef strips served with Isan-style sauce that is sweet, sour and spicy.",,180克烤得嫩嫩的澳洲牛肉条，配上酸甜辣味的伊山风味酱汁。,.\img\dishes\09-05.png,halal,
10-1,74,Stir-fries,Stir-fried Chicken with Cashew Nuts (Thai Pad Med Ma'mouwang),ไก่ผัดเม็ดมะม่วงหิมพานต์ ฮาลาล,腰果鸡丁,150,"Chicken with crispy golden cashews, fried to perfection and tossed with a zesty Thai-style seasoning.",,鸡肉配上金黄酥脆的腰果，炸至完美，再加入浓郁的泰式调味料。,.\img\dishes\10-01.png,halal,
10-2,75,Stir-fries,Spicy Basil Stir-Fry (Pad Kra Praw),ผัดกระเพรา ฮาลาล,辣罗勒炒鸡肉/牛肉/虾/鱿鱼,,"Thailand’s favorite! Stir-fried with Thai basil leaves, chilies and your choice of protein.",,泰国人最爱！用泰国罗勒叶、辣椒和您选择的蛋白质一起翻炒。,.\img\dishes\10-02.png,halal,Chicken: 120 | Beef: 150 | Shrimp: 150 | Squid: 150
10-3,76,Stir-fries,Thai Herbal Stir-Fry (Pad Cha),ผัดฉ่า ฮาลาล,泰式香草炒鸡肉/牛肉/虾/鱿鱼,,"Bold and spicy with aromatic galangal, peppercorns, Thai herbs and your choice of protein.",,浓郁辛辣，带有芳香的高良姜、胡椒、泰国香草和您选择的蛋白质。,.\img\dishes\10-03.png,halal,Chicken: 120 | Beef: 150 | Shrimp: 150 | Squid: 150
10-4,77,Stir-fries,Thai Herbs Stir-Fried (Pad Khee Maw),ผัดขี้เมา ฮาลาล,泰式香草炒鸡肉/牛肉/虾/鱿鱼,,Fragrant Thai herbs stir-fried to a spicy kick—with your choice of chicken or seafood.,,将泰国香草炒至辛辣，并可选择鸡肉或海鲜。,.\img\dishes\10-04.png,halal,Chicken: 120 | Beef: 150 | Shrimp: 150 | Squid: 150
10-5,78,Stir-fries,Chili Paste Stir-Fry (Pad Prig Pauw),ผัดพริกเผา ฮาลาล,辣椒酱炒菜鸡肉/牛肉/虾/鱿鱼,,Intense and flavorful—sweet chili paste stir-fried with your choice of protein.,,浓郁而可口——甜辣酱与您选择的蛋白质一起翻炒。,.\img\dishes\10-05.png,halal,Chicken: 120 | Beef: 150 | Shrimp: 150 | Squid: 150
10-6,79,Stir-fries,Curry Powder Stir-Fry (Pad Pong Gha Ri),ผัดผงกะหรี่,咖喱粉炒海鲜,,"Wok-tossed in Thai curry powder and herbs – with shrimp, squid or both.",,用泰式咖喱粉和香草炒制，搭配虾、鱿鱼或两者。,.\img\dishes\10-06.png,seafood,Shrimp: 160 | Squid: 160 | Seafood: 180
10-7,80,Stir-fries,Oyster Sauce Stir-Fried Australia Beef (Neua Pad Nam Mun Hoi),เนื้อออสเตรเลียผัดน้ำมันหอย ฮาลาล,蚝油澳洲牛肉,180,Tender beef glazed in a savory oyster sauce blend.,,嫩牛肉淋上美味的蚝油。,.\img\dishes\10-07.png,halal,
10-8,81,Stir-fries,Salted Egg Stir-Fry (Pad Khai Kem),ผัดไข่เค็ม,咸蛋炒海鲜,,"Creamy and rich—salted egg adds a decadent twist with your choice of shrimp, squid or both.",,奶油味浓郁的咸蛋与您选择的虾、鱿鱼或两者一起增添了浓郁的风味。,.\img\dishes\10-08.png,seafood,Shrimp: 160 | Squid: 160 | Seafood: 180
10-9,82,Stir-fries,Stir-Fried Broccoli with Shrimp (Pad Broccoli Kung),ผัดบ็อคโครี่ กุ้ง,西兰花炒虾,150,Classic veggie-meets-seafood favorite.,,经典的蔬菜与海鲜搭配美食。,.\img\dishes\10-09.png,seafood,
10-10,83,Stir-fries,Stir-Fried Mixed Veggies with Seafood (Pad Pak Luam Talay),ผัดผักร่วมอาหารทะเล,什锦蔬菜炒海鲜,150,Balanced and colorful—wholesome Thai stir-fry with shrimp and squid.,,均衡且色彩鲜艳——有益健康的泰式虾和鱿鱼炒菜。,.\img\dishes\10-10.png,seafood,
10-11,84,Stir-fries,Red Curry Stir-Fry (Pad Prig Gang),ผัดพริกแกง ฮาลาล,红咖喱炒鸡肉/牛肉,,Thai red curry paste stir-fried with your choice of protein.,,泰式红咖喱酱与您选择的蛋白质一起翻炒。,.\img\dishes\10-11.png,halal,Chicken: 120 | Beef: 150
10-12,85,Stir-fries,Mixed Seasonal Vegetable Stir-Fry (Pad Pak Luam),ผัดผักรวมตามฤดูกาล,什锦炒菜,100,"Fresh garden seasonal vegetables, lightly seasoned.",,新鲜的花园时令蔬菜，调味清淡。,.\img\dishes\10-12.png,vegetarian,
